Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
5.45,1550.287,961.70,208.1429,96.98, -,8.945935
5.50,1561.681,961.30,208.2381,96.98, -,8.945935
5.55,1570.228,961.00,205.619,96.98, -,8.945935
5.60,1578.777,960.70,202.9524,96.98, -,8.945935
5.65,1587.329,960.40,203,96.98, -,8.945935
5.70,1595.884,960.10,197.6667,96.98, -,8.945935
5.75,1607.291,959.70,200.4286,96.98, -,8.945935
5.80,1615.85,959.40,197.7619,96.98, -,8.945935
5.85,1624.412,959.10,195.0952,96.98, -,8.945935
5.90,1632.975,958.80,192.4286,96.98, -,8.945935
5.95,1641.541,958.50,192.4762,96.98, -,8.945935
6.00,1650.108,958.20,189.8095,96.98, -,8.945935
6.05,1658.677,957.90,187.1429,96.98, -,8.945935
6.10,1667.251,957.60,187.1905,96.98, -,8.945935
6.15,1675.824,957.30,184.5238,96.98, -,8.945935
6.20,1681.542,957.10,179.1429,96.98, -,8.945935
6.25,1690.12,956.80,179.1905,96.98, -,8.945935
6.30,1698.699,956.50,176.5238,96.98, -,8.945935
6.35,1707.281,956.20,176.5714,96.98, -,8.945935
6.40,1713.004,956.00,173.8571,96.98, -,8.945935
6.45,1721.589,955.70,173.9048,96.98, -,8.945935
6.50,1727.315,955.50,168.5238,96.98, -,8.945935
6.55,1738.768,955.10,168.5714,96.98, -,8.945935
6.60,1744.495,954.90,165.9048,96.98, -,8.945935
6.65,1753.09,954.60,165.9524,96.98, -,8.945935
6.70,1758.819,954.40,163.2857,96.98, -,8.945935
6.75,1767.418,954.10,163.3333,96.98, -,8.945935
6.80,1773.149,953.90,157.9524,96.98, -,8.945935
6.85,1781.752,953.60,158,96.98, -,8.945935
6.90,1787.486,953.40,155.3333,96.98, -,8.945935
6.95,1796.092,953.10,155.381,96.98, -,8.945935
7.00,1801.828,952.90,152.7143,96.98, -,8.945935
7.05,1807.567,952.70,150.0476,96.98, -,8.945935
7.10,1813.307,952.50,147.381,96.98, -,8.945935
7.15,1821.918,952.20,147.4286,96.98, -,8.945935
7.20,1827.66,952.00,144.7619,96.98, -,8.945935
